Temperature,R,G,B
0,189,0,255
1,179,0,240
2,173,0,255
3,161,0,255
4,150,0,255
5,140,0,255
6,130,0,255
7,120,0,255
8,110,0,255
9,97,0,255
10,94,0,255
11,89,0,255
12,77,5,255
13,59,0,255
14,54,0,255
15,0,220,145
16,0,200,48
17,0,158,0
18,92,184,0
19,140,200,0
20,175,225,50
21,204,255,50
22,255,255,0
23,255,181,0
24,255,130,0
25,255,69,38
26,255,28,38
27,255,0,0
28,227,0,0
29,194,0,0
30,179,0,0
31,158,0,0
32,148,0,0
33,133,0,0
34,110,0,0
35,94,0,0
36,89,0,0
37,82,0,0
38,71,0,0
39,61,0,0
40,54,0,0
41,43,0,0
42,36,0,0
43,23,0,0
44,13,0,0
45,220,115,0
46,225,125,0
47,230,135,0
48,235,145,0
49,230,145,50
50,200,100,40
51,185,100,30
52,170,90,30
53,155,80,25
54,140,70,20
55,125,60,20
56,110,50,15
