Temperature,R,G,B
0,128,128,128
1,179,0,240
2,173,0,255
3,161,0,255
4,150,0,255
5,140,0,255
6,130,0,255
7,120,0,255
8,110,0,255
9,97,0,255
10,94,0,255
11,89,0,255
12,77,5,255
13,59,0,255
14,54,0,255
15,20,0,255
16,0,0,255
17,0,0,255
18,0,0,255
19,0,0,255
20,0,0,255
21,0,0,255
22,0,66,255
23,0,97,255
24,0,158,255
25,0,235,255
26,0,220,145
27,0,200,48
28,0,158,0
29,92,184,0
30,140,200,0
31,175,225,50
32,204,255,50
33,255,255,0
34,255,181,0
35,255,130,0
36,255,69,38
37,255,28,38
38,255,0,0
39,227,0,0
40,194,0,0
41,179,0,0
42,158,0,0
43,148,0,0
44,133,0,0
45,110,0,0
46,94,0,0
47,89,0,0
48,82,0,0
49,71,0,0
50,61,0,0
51,54,0,0
52,43,0,0
53,36,0,0
54,23,0,0
55,13,0,0
56,220,115,0
57,225,125,0
58,230,135,0
59,235,145,0
60,230,145,50
61,200,100,40
62,185,100,30
63,170,90,30
64,155,80,25
65,140,70,20
66,125,60,20
67,110,50,15
