ppt,red,green,blue
0,255,248,220
1,255,0,0
2,255,0,0
3,255,0,0
4,255,0,0
5,255,0,0
6,255,0,0
7,255,0,0
8,255,0,0
9,255,0,0
10,255,0,0
11,255,0,0
12,255,0,0
13,255,0,0
14,255,0,0
15,255,0,0
16,255,0,0
17,255,0,0
18,255,0,0
19,255,0,0
20,255,0,0
21,255,0,0
22,255,0,0
23,255,0,0
24,255,0,0
25,255,0,0
26,255,0,0
27,255,0,0
28,255,0,0
29,255,0,0
30,255,0,0
31,255,0,0
32,255,0,0
33,255,0,0
34,255,0,0
35,255,0,0
36,255,0,0
37,255,0,0
38,255,0,0
39,255,0,0
40,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
