ppt,red,green,blue,,
0,255,255,240,,
1,192,192,192,,
2,192,192,192,,
3,192,192,192,,
4,192,192,192,,
5,192,192,192,,
6,192,192,192,,
7,192,192,192,,
8,192,192,192,,
9,192,192,192,,
10,51,255,255,,
11,51,255,255,,
12,51,255,255,,
13,51,255,255,,
14,51,255,255,,
15,51,255,255,,
16,51,255,255,,
17,51,255,255,,
18,51,255,255,,
19,51,255,255,,
20,51,255,255,,
21,51,255,255,,
22,51,255,255,,
23,51,255,255,,
24,51,255,255,,
25,51,255,255,,
26,0,255,0,,
27,0,255,0,,
28,0,255,0,,
29,0,255,0,,
30,0,255,0,,
31,0,255,0,,
32,0,255,0,,
33,0,255,0,,
34,0,255,0,,
35,0,255,0,,
36,0,255,0,,
37,0,255,0,,
38,0,255,0,,
39,0,255,0,,
40,0,255,0,,
41,0,255,0,,
42,0,255,0,,
43,0,255,0,,
44,0,255,0,,
45,0,255,0,,
46,0,255,0,,
47,0,255,0,,
48,0,255,0,,
49,0,255,0,,
50,0,255,0,,
51,255,165,0,,
52,255,165,0,,
53,255,165,0,,
54,255,165,0,,
55,255,165,0,,
56,255,165,0,,
57,255,165,0,,
58,255,165,0,,
59,255,165,0,,
60,255,165,0,,
61,255,165,0,,
62,255,165,0,,
63,255,165,0,,
64,255,165,0,,
65,255,165,0,,
66,255,165,0,,
67,255,165,0,,
68,255,165,0,,
69,255,165,0,,
70,255,165,0,,
71,255,165,0,,
72,255,165,0,,
73,255,165,0,,
74,255,165,0,,
75,255,0,0,,
76,255,0,0,,
77,255,0,0,,
78,255,0,0,,
79,255,0,0,,
80,255,0,0,,
81,255,0,0,,
82,255,0,0,,
83,255,0,0,,
84,255,0,0,,
85,255,0,0,,
86,255,0,0,,
87,255,0,0,,
88,255,0,0,,
89,255,0,0,,
90,255,0,0,,
91,255,0,0,,
92,255,0,0,,
93,255,0,0,,
94,255,0,0,,
95,255,0,0,,
96,255,0,0,,
97,255,0,0,,
98,255,0,0,,
99,255,0,0,,
100,255,0,0,,
