"AT","Dew_Point","RH_Percent","VPD","ppt_mm","ppt_mm_sum","Soil4in_C","Soil8in_C","Solar_WM2","ws2m_ms","ws10m_ms"
-5.651666667,-14.18416667,5.092083333,0.196666667,0,0,3.5875,5.325,0,1.065833333,1.7275
-6.925,-13.76833333,5.806916667,0.151666667,0,0,3.206666667,5.043333333,0,1.055833333,2.2775
-7.3675,-13.4125,6.1875,0.135833333,0,0,2.88,4.7825,0,1.341666667,2.595833333
-8.0125,-13.26416667,6.582416667,0.115,0,0,2.5975,4.5375,0,0.666666667,1.586666667
-8.173333333,-13.16083333,6.721833333,0.108333333,0,0,2.353333333,4.310833333,0,1.008333333,2.178333333
-8.675,-13.15166667,6.995333333,0.095,0,0,2.135833333,4.103333333,0,1.085833333,2.388333333
-9.1525,-13.22916667,7.216416667,0.085,0,0,1.938333333,3.91,0,1.036666667,2.236666667
-9.7375,-13.31083333,7.50725,0.073333333,0,0,1.755833333,3.730833333,0.007833333,0.935833333,1.985833333
-8.428333333,-12.48666667,7.25225,0.091666667,0,0,1.584166667,3.563333333,0.666591667,1.495833333,2.2325
-4.993333333,-11.1825,6.18875,0.161666667,0,0,1.438333333,3.405833333,2.197708333,1.921666667,2.215
-0.763333333,-10.51083333,4.777333333,0.304166667,0,0,1.375,3.265,3.758658333,1.880833333,2.123333333
2.935,-11.91916667,3.274333333,0.51,0,0,1.375833333,3.154166667,4.512941667,1.514166667,1.6925
4.560833333,-14.02666667,2.4535,0.639166667,0,0,1.881666667,3.110833333,5.138966667,1.988333333,2.26
5.528333333,-15.27916667,2.064,0.719166667,0,0,3.113333333,3.27,5.176858333,1.769166667,1.973333333
5.983333333,-15.88,1.90175,0.755,0,0,4.305,3.623333333,4.429216667,1.876666667,2.145
5.790833333,-16.0375,1.901,0.7475,0,0,5.2225,4.0625,3.567925,2.175833333,2.43
5.540833333,-16.31333333,1.890166667,0.733333333,0,0,5.738333333,4.494166667,2.082775,2.506666667,3.000833333
4.083333333,-16.7175,2.025583333,0.654166667,0,0,5.825,4.8375,0.519491667,2.086666667,2.954166667
